brand,screen,procesor,RAM,Disk,Graphic Card,Operation System,Price(zł)
MSI,"15.6"", 1920 x 1080px, 240Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,AMD Radeon RX 6700M,Windows 11 Home,7.099
ACER,"16"", 3072 x 1920px, 60Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA RTX A3000,Windows 10 Professional,11.149
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.849
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional,3.14
MSI,"16"", 2560 x 1600px, Ekran dotykowy, 120Hz",Intel Core i9-11900H,16,1000 GB SSD,NVIDIA GeForce RTX 3060 Max-Q,Windows 10 Professional,11.599
MSI,"16"", 2560 x 1600px, 60Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,7.099
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Professional,3.94
ACER,"14"", 1920 x 1080px, 60Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Professional,7.849
MSI,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,NVIDIA GeForce GTX 1650 Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.809
ACER,"15.6"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,16,2000 GB SSD,NVIDIA GeForce RTX 3080,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),12.169
ASUS,"14"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.499
ASUS,"14"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.899
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.899
LG ELECTRONICS POLSKA SP. Z O.O.,"16"", 2560 x 1600px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,5.099
ACER,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce RTX 3060,Brak,4.999
DELL,"13.3"", 2560 x 1440px, 60Hz",Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,4.499
DELL,"13.3"", 1920 x 1200px, 60Hz",Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,4.699
LG ELECTRONICS POLSKA SP. Z O.O.,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,5.299
HP,"13.3"", 1920 x 1080px, 60Hz",Intel Core i7-1165G7,16,1000 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.899
DELL,"13.3"", 2560 x 1440px, 60Hz",Intel Core i7-11390H,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,4.699
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,NVIDIA GeForce MX330,Windows 11 Home,4.299
LG ELECTRONICS POLSKA SP. Z O.O.,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,4.999
DELL,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1155G7,8,512 GB SSD,NVIDIA GeForce MX350,Windows 11 Home,4.599
MSI,"13.4"", 1920 x 1200px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),4.999
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Professional,4.399
DELL,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Professional,4.999
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Linux,4.799
DELL,"15.6"", 1920 x 1080px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Linux,6.999
DELL,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 11 Professional,3.599
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i7-1165G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.099
APPLE,"13.3"", 2560 x 1600px, 60Hz",Apple M1,8,1000 GB SSD,Apple M1 (8 rdzeni),macOS Big Sur,8.699
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,NVIDIA GeForce MX330,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.699
HP,"13.3"", 1920 x 1080px, 60Hz",Intel Core i7-1165G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.599
DELL,"13.3"", 1920 x 1080px, 60Hz",Intel Core i7-10510U,16,1000 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.499
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i7-1195G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,4.899
DELL,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Professional,5.199
MSI,"15.6"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce GTX 1660 Ti Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.999
ASUS,"13.4"", 3840 x 2400px, Ekran dotykowy, 60Hz",AMD Ryzen 9 5900HS,16,512 GB SSD,"NVIDIA GeForce RTX 3050 Ti,
    
      NVIDIA GeForce RTX 3080",Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),12.699
APPLE,"13.3"", 2560 x 1600px, 60Hz",Apple M1,16,2000 GB SSD,Apple M1 (8 rdzeni),macOS Big Sur,11.799
MSI,"15.6"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i7-1185G7,16,1000 GB SSD,NVIDIA GeForce GTX 1650 Ti Max-Q,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),6.999
ASUS,"14"", 2560 x 1440px, 60Hz",AMD Ryzen 9 4900HS,16,1000 GB SSD,NVIDIA GeForce GTX 1660 Ti Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.999
ACER,"15.6"", 1920 x 1080px, 60Hz",Intel Core i7-10750H,16,512 GB SSD,NVIDIA Quadro T1000,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),7.499
APPLE,"13.3"", 2560 x 1600px, 60Hz",Apple M1,8,1000 GB SSD,Apple M1 (8 rdzeni),macOS Big Sur,8.699
LENOVO,"14"", 1920 x 1080px, 60Hz",Intel Core i7-1065G7,8,1000 GB SSD,Intel Iris Plus Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.999
MICROSOFT,"13.5"", 2256 x 1504px, Ekran dotykowy, 60Hz",Intel Core i5-1145G7,8,512 GB SSD,Intel Iris Plus Graphics 950,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.699
LENOVO,"14"", 1920 x 1080px, 60Hz",Intel Core i7-1065G7,8,512 GB SSD,Intel Iris Plus Graphics,Brak,3.299
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-10400H,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),5.399
HP,"13.3"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.199
ASUS,"14"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3060,Brak,7.099
ASUS,"13.3"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.719
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 7 4800H,16,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Brak,3.849
LECHPOL Zbigniew Leszek,"14.1"", 1920 x 1080px, 60Hz",Intel Celeron N4000,4,64 GB Flash,Intel HD Graphics 6000,Windows 10 Professional,983.0
HIRO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.999
LENOVO,"15.6"", 1920 x 1080px",AMD Ryzen 5 3500U,8,256 GB SSD,AMD Radeon Vega 8,Windows 10 Professional,3.599
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional,3.799
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,Windows 11 Home,2.499
DELL,"13.3"", 1920 x 1080px",Intel Core i7-10710U,16,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.999
DYNABOOK,"15.6"", 1920 x 1080px",Intel Core i5-8265U,8,256 GB SSD,Intel UHD Graphics 620,Windows 10 Professional,7.199
HP,"15.6"", 1920 x 1080px, 240Hz",Intel Core i7-9750H,16,1000 GB SSD,NVIDIA GeForce RTX 2070 Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),12.499
DYNABOOK,"13.3"", 1920 x 1080px",Intel Core i3-8130U,8,256 GB SSD,Intel UHD Graphics 620,Windows 10 Professional,3.799
DELL,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2070 Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),8.499
DELL,"13.4"", 1920 x 1200px",Intel Core i7-1065G7,16,1000 GB SSD,Intel Iris Plus Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),8.999
DELL,"13.4"", 1920 x 1200px",Intel Core i5-1035G1,8,512 GB SSD,Intel Iris Plus Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.344
DELL,"13.3"", 3840 x 2160px, Ekran dotykowy",Intel Core i7-10710U,16,1000 GB SSD,Intel UHD Graphics 630,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.697
HIRO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.599
DYNABOOK,"14"", 1920 x 1080px, Dotykowy",Intel Core i7-8565U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Professional,7.399
ASUS,"14"", 1920 x 1080px, 120Hz",AMD Ryzen 7 4800HS,16,512 GB SSD,NVIDIA GeForce GTX 1660 Ti Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.899
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),4.999
DYNABOOK,"14"", 1920 x 1080px, Dotykowy",Intel Core i7-8550U,8,256 GB SSD,Intel UHD Graphics 620,Windows 10 Professional,6.559
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i7-10510U,8,256 GB SSD,Intel UHD Graphics 620,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),4.899
HP,"15.6"", 1920 x 1080px, 240Hz",Intel Core i7-9750H,16,1000 GB SSD,NVIDIA GeForce RTX 2080 Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),14.499
DELL,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 4600H,8,512 GB SSD,AMD Radeon RX 5600M,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.899
DELL,"14"", 1920 x 1080px",AMD Ryzen 7 4700U,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.299
DELL,"14"", 1920 x 1080px",Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics 620,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),5.599
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 7 4800H,8,256 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.499
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,500 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.819
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,500 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.309
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,5.029
LENOVO,"14"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.399
DELL,"13.3"", 1920 x 1080px, 60Hz",Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),5.049
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 3700X,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Brak,7.999
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 9 3900,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Brak,8.929
DELL,"15.6"", 1920 x 1080px, 360Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 11 Home,14.499
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 9 3900,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,7.899
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,8,500 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.699
DREAMMACHINES,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.399
DREAMMACHINES,"17.3"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,500 GB SSD,NVIDIA GeForce GTX 1650,Brak,5.349
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,500 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,5.129
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,1000 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.999
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 3700X,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.669
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,500 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.799
DREAMMACHINES,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,5.799
MICROSOFT,"13"", 2880 x 1920px, Ekran dotykowy, 60Hz",Microsoft SQ2,16,512 GB SSD,Adreno 687,Windows 11 Home,7.632
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,500 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.199
DREAMMACHINES,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600X,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,8.099
DREAMMACHINES,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,500 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,5.549
DREAMMACHINES,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,500 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.149
DREAMMACHINES,"15.6"", 3840 x 2160px, 60Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Brak,8.569
ACER,"14"", 1920 x 1080px, 144Hz",Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.999
HUAWEI,"14"", 2160 x 1440px, 60Hz",AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,4.473
ASUS,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.999
ASUS,"15.6"", 1920 x 1080px",AMD Ryzen 5 3550H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.399
DREAMMACHINES,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,1000 GB SSD,NVIDIA GeForce GTX 1650,Brak,5.199
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),1.799
ACER,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.999
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.199
ASUS,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.699
HP,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.999
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1035G1,16,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.999
APPLE,"13.3"", 2560 x 1600px",Apple M1,8,256 GB SSD,Apple M1 (7 rdzeni),macOS Big Sur,4.549
LENOVO,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 7 4800U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.799
ACER,"15.6"", 1920 x 1080px",Intel Core i3-1005G1,4,256 GB SSD,Intel UHD Graphics,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),1.999
APPLE,"13.3"", 2560 x 1600px",Apple M1,8,256 GB SSD,Apple M1 (7 rdzeni),macOS Big Sur,4.599
ASUS,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.099
ACER,"15.6"", 1920 x 1080px",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.899
ACER,"14"", 1366 x 768px",Intel Celeron N4020,4,128 GB Flash,Intel UHD Graphics 600,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),1.399
APPLE,"13.3"", 1440 x 900px, 60Hz",Intel Core i5-5350U,8,128 GB SSD,Intel HD Graphics 6000,macOS Sierra,3.789
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-10300H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,3.599
HP,"15.6"", 1920 x 1080px",Intel Core i3-10110U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.299
HUAWEI,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-10110U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.199
ASUS,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.699
LENOVO,"14"", 1920 x 1080px, 60Hz",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),2.199
LENOVO,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",AMD Athlon 300U,4,128 GB SSD,AMD Radeon Vega 3,Windows 10 Home,1.759
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.599
DELL,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,1000 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.499
APPLE,"13.3"", 2560 x 1600px",Apple M1,8,256 GB SSD,Apple M1 (7 rdzeni),macOS Big Sur,4.549
LENOVO,"14"", 1920 x 1080px, 60Hz",Intel Pentium N5000,4,128 GB SSD,Intel UHD Graphics 605,Windows 10 S,1.279
APPLE,"13.3"", 2560 x 1600px",Intel Core i5-1038NG7,16,512 GB SSD,Intel Iris Plus Graphics,macOS Catalina,8.548
ACER,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.499
LENOVO,"14"", 1920 x 1080px",Intel Core i5-1035G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home,2.369
APPLE,"13.3"", 2560 x 1600px",Apple M1,8,256 GB SSD,Apple M1 (8 rdzeni),macOS Big Sur,5.839
LENOVO,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.899
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),2.649
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,2.649
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.899
ASUS,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 4800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.499
ASUS,"14"", 1920 x 1080px",AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.079
DELL,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home,2.999
LENOVO,"14"", 1920 x 1080px",AMD 3020e,4,128 GB SSD,AMD Radeon Graphics,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),1.599
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.499
ASUS,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.399
ASUS,"14"", 1920 x 1080px",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.679
KIANO,"10.1"", 1280 x 800px, Dotykowy",Intel Atom x5-Z8350,4,32 GB Flash,Intel HD Graphics 400,Windows 10 Home,539.0
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home,4.699
ACER,"15.6"", 1920 x 1080px",Intel Core i5-10300H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.999
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),2.199
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.999
LENOVO,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 5 4500U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home,2.599
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 7 4800H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.999
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Pentium Silver N5030,8,256 GB SSD,Intel UHD Graphics 605,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),1.799
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-10200H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.299
LENOVO,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Home,6.199
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3060,Windows 11 Home,5.299
ACER,"14"", 1920 x 1080px, 60Hz",Intel Core i5-8265U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),3.589
HP,"16.1"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.419
ACER,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.799
ACER,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-10300H,16,512 GB SSD,NVIDIA GeForce GTX 1660 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.949
HUAWEI,"14"", 2160 x 1440px",AMD Ryzen 5 4600H,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.899
DELL,"15.6"", 1366 x 768px",Intel Pentium N5000,4,1000 GB HDD,Intel UHD Graphics 605,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),1.799
