brand,screen,procesor,RAM,Disk,Graphic Card,Operation System,Price(zł)
ASUS,"15.6"", 1366 x 768px, 60Hz",Intel Celeron N4020,4,128 GB Flash,Intel UHD Graphics 600,Windows 11 Home S,1.443
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.604
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,3.499
HP,"17.3"", 1920 x 1080px, 60Hz",Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.499
HIRO,"15.6"", 1920 x 1080px, 240Hz",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2070,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.799
ASUS,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.299
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,3.299
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Athlon Silver 3050U,8,256 GB SSD,AMD Radeon Graphics,Windows 11 Home,1.999
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1005G1,4,256 GB SSD,Intel UHD Graphics,Brak,2.299
HIRO,"15.6"", 1920 x 1080px, 240Hz",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2080 Super,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),10.699
ASUS,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 4800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,4.199
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home,4.899
DELL,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,3.899
HUAWEI,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,2.999
APPLE,"16.2"", 3456 x 2234px, 120Hz",Apple M1 Pro,16,512 GB SSD,Apple M1 Pro (16 rdzeni),macOS Monterey,12.299
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.291
ASUS,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,4.389
MSI,"17.3"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 11 Home,7.899
LENOVO,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Brak,2.499
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.699
APPLE,"13.3"", 2560 x 1600px",Apple M1,8,512 GB SSD,Apple M1 (8 rdzeni),macOS Big Sur,7.399
HUAWEI,"16"", 2520 x 1680px, 60Hz",AMD Ryzen 5 5600H,16,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,4.499
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,Windows 11 Home S,1.799
LENOVO,"15.6"", 1920 x 1080px, 165Hz",Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3060,Windows 11 Home,5.799
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,3.899
MICROSOFT,"13"", 2880 x 1920px, Ekran dotykowy, 60 - 120Hz",Intel Core i5-1135G7,8,128 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,4.599
HP,"16.1"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,5.499
ASUS,"15.6"", 2560 x 1440px, 165Hz",AMD Ryzen 7 6800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 11 Home,6.899
LG ELECTRONICS POLSKA SP. Z O.O.,"17"", 2560 x 1600px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,5.279
HP,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,5.299
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,32,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),8.399
APPLE,"13.3"", 2560 x 1600px, 60Hz",Apple M1,16,1000 GB SSD,Apple M1 (8 rdzeni),macOS Big Sur,8.499
APPLE,"14.2"", 3024 x 1964px, 120Hz",Apple M1 Pro,16,1000 GB SSD,Apple M1 Pro (16 rdzeni),macOS Monterey,11.699
MICROSOFT,"10.5"", 1920 x 1280px, Ekran dotykowy",Intel Pentium Gold 6500Y,8,128 GB SSD,Intel UHD Graphics 615,Windows 11 Home,3.299
HP,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,5.099
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional,3.799
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 11 Home,3.299
MSI,"17"", 2560 x 1600px, Ekran dotykowy, 165Hz",32,2000 GB SSD,NVIDIA GeForce RTX 3070 Ti,Windows 11 Professional,2.4 - 5.1,15.199
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,3.999
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,4.299
